Timestamp,Total score,Question1,Question2,Question 3,Question 4
2026/02/27 11:17:02 AM CST,0.00 / 0,2,16,12,3
2026/02/27 11:17:58 AM CST,0.00 / 0,1,10,6,5
2026/02/27 11:18:10 AM CST,0.00 / 0,2,10,30,5
2026/02/27 11:18:47 AM CST,0.00 / 0,4,10,20,6
2026/02/27 11:18:53 AM CST,0.00 / 0,5,10,13,5
2026/02/27 11:19:02 AM CST,0.00 / 0,1,5,45,3
2026/02/27 11:19:19 AM CST,0.00 / 0,0,15,12,12
2026/02/27 11:19:20 AM CST,0.00 / 0,1,10,20,7
2026/02/27 11:19:43 AM CST,0.00 / 0,2,6,50,2
2026/02/27 11:19:54 AM CST,0.00 / 0,3,4,10,20
2026/02/27 11:19:55 AM CST,0.00 / 0,1,2,5,4
2026/02/27 11:20:30 AM CST,0.00 / 0,3,10,60,5
